clientbankpartner_pin,client_pin,partner_src_type_ccode,client_start_date,partnerrolestart_date
270277,5585,4,2020-05-07,2020-04-01
238679,5586,4,2020-02-27,2020-02-01
121046,5589,4,2020-04-26,2020-03-01
13084,5591,4,2020-05-22,2020-05-01
276484,5595,1,2020-05-02,2020-04-01
6781,5599,4,2020-11-03,2020-06-23
236905,5605,4,2020-09-14,2020-03-01
125779,5608,4,2020-09-21,2019-12-01
218269,5610,4,2020-02-12,2019-12-01
4094,5612,5,2019-06-01,2019-04-01
230035,5613,4,2020-05-01,2019-12-01
130756,5619,1,2020-02-01,2019-03-01
136412,5621,1,2019-06-15,2019-04-01
7082,5623,4,2020-02-02,2019-12-01
4956,5627,5,2020-04-14,2020-04-01
10050,5628,4,2020-04-05,2019-05-01
9379,5633,4,2019-03-20,2019-03-01
117743,5637,1,2020-01-05,2019-05-01
242032,5648,4,2020-08-07,2020-02-01
1952,5657,5,2020-10-19,2019-07-01
270277,5658,4,2020-08-20,2020-04-01
4272,5661,5,2020-01-15,2019-10-01
4872,5670,5,2020-10-12,2020-08-01
213854,5681,4,2020-08-09,2019-12-01
229262,5694,4,2020-06-20,2020-01-01
937,5699,5,2020-08-16,2020-02-01
875,5709,5,2019-07-29,2019-05-01
4486,5717,5,2019-09-30,2019-09-01
185093,5721,4,2020-06-20,2020-03-01
4661,5725,5,2020-11-11,2019-11-01
270277,5730,4,2020-08-03,2020-04-01
126843,5740,1,2020-02-16,2019-05-01
14483,5741,4,2020-04-18,2019-07-01
123986,5748,4,2020-06-23,2019-10-01
13706,5761,4,2019-10-22,2019-09-01
10562,5763,4,2020-03-06,2020-01-01
119712,5764,4,2019-09-04,2019-04-01
45724,5769,4,2020-10-14,2020-10-01
5460,5773,4,2019-05-19,2019-05-01
126843,5775,1,2019-12-16,2019-05-01
136295,5777,4,2020-09-13,2019-04-01
1138,5796,5,2020-07-09,2019-10-01
12841,5797,1,2020-11-26,2020-10-01
503,5816,5,2019-09-15,2019-06-01
5245,5845,5,2020-10-26,2020-10-01
118214,5857,4,2019-11-25,2019-04-01
152863,5858,1,2020-11-21,2020-09-01
254028,5861,4,2020-09-30,2020-03-01
151681,5875,4,2020-11-24,2019-07-01
3199,5876,5,2019-10-25,2019-06-01
4591,5881,5,2020-07-16,2020-03-01
3842,5885,5,2020-09-27,2020-09-01
7331,5886,4,2019-11-18,2019-10-01
126843,5895,1,2020-08-10,2019-05-01
125319,5898,4,2019-12-09,2019-07-01
214686,5901,4,2020-08-15,2020-05-01
129796,5902,4,2020-02-22,2019-04-01
147430,5903,1,2020-11-25,2019-05-01
1639,5933,5,2019-10-28,2019-02-01
120125,5936,4,2020-11-11,2020-09-01
2275,5944,5,2020-09-16,2020-03-01
3896,5953,5,2019-08-18,2019-01-01
210278,5957,1,2020-07-16,2019-11-01
185398,5959,4,2020-10-03,2019-09-01
23358,5963,1,2020-11-15,2020-08-01
188693,5971,4,2019-12-16,2019-10-01
203724,5973,4,2020-08-13,2020-06-01
4661,5978,5,2020-06-26,2019-11-01
227419,5996,4,2020-06-26,2020-01-01
5217,5997,5,2020-11-26,2020-10-01
7796,5998,4,2019-12-16,2019-09-01
121532,6000,4,2020-05-23,2019-05-01
