,average_month_invites,average_week_invites,diff_day_first,diff_day_second,diff_days_mean,diff_days_last,diff_days_prelast,diff_test_date_and_last_invite,end_date_clientstart_median,end_date_clientstart_max-min,difference_median_and_max-min,diff_first_lastdt,diff_between_end_date_and_first_client,clients_per_day,clients_invited_last_30_days,clients_invited_last_60_days,clients_invited_last_90_days,clients_invited_last_180_days,clients_invited_last_270_days,clients_invited_last_365_days,churn
,,,,,,,,,,,,,,,,,,,,,
clientbankpartner_pin,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,187.0,7.0,64.66666666666667,7.0,187.0,88,95,194,99,180.0,282,94.0,0,0,1,2,2,3,1
2,1.75,1.4,2.0,26.0,58.714285714285715,22.0,114.0,63,279,411,132,-20.0,474,67.71428571428571,0,0,2,2,3,4,1
5,1.0,1.0,17.0,32.0,31.4,30.0,78.0,225,333,157,-176,-13.0,382,76.4,0,0,0,0,2,4,0
6,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,337,337,0,-337,0.0,337,337.0,0,0,0,0,0,1,0
9,1.0,1.0,23.0,-100.0,11.5,23.0,-100.0,224,235,23,-213,0.0,247,123.5,0,0,0,0,2,2,0
10,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,63,63,0,-63,0.0,63,63.0,0,0,1,1,1,1,0
12,1.5,1.0,57.0,14.0,23.666666666666668,14.0,57.0,197,211,71,-140,43.0,268,89.33333333333333,0,0,0,0,3,3,0
17,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,70,70,0,-70,0.0,70,70.0,0,0,1,1,1,1,0
21,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,411,411,0,-411,0.0,411,411.0,0,0,0,0,0,0,0
22,1.5,1.0,16.0,12.0,9.333333333333334,12.0,16.0,4,16,28,12,4.0,32,10.666666666666666,2,3,3,3,3,3,1
23,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,549,549,0,-549,0.0,549,549.0,0,0,0,0,0,0,0
29,3.0,1.5,20.0,0.0,6.666666666666667,0.0,20.0,460,460,20,-440,20.0,480,160.0,0,0,0,0,0,0,0
30,1.75,1.1666666666666667,16.0,21.0,18.142857142857142,68.0,13.0,142,232,127,-105,-52.0,269,38.42857142857143,0,0,0,1,7,7,0
33,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,15,15,0,-15,0.0,15,15.0,1,1,1,1,1,1,1
35,2.1,1.3125,17.0,8.0,21.857142857142858,55.0,0.0,33,330,459,129,-38.0,492,23.428571428571427,0,1,3,6,9,14,1
37,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,72,72,0,-72,0.0,72,72.0,0,0,1,1,1,1,0
38,1.0,1.0,96.0,-100.0,48.0,96.0,-100.0,40,88,96,8,0.0,136,68.0,0,1,1,2,2,2,1
40,1.0,1.0,27.0,65.0,75.5,210.0,65.0,102,344,302,-43,-183.0,404,101.0,0,0,0,1,1,2,0
41,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,287,287,0,-287,0.0,287,287.0,0,0,0,0,0,1,0
48,1.0,1.0,17.0,-100.0,8.5,17.0,-100.0,109,117,17,-101,0.0,126,63.0,0,0,0,2,2,2,1
49,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,177,177,0,-177,0.0,177,177.0,0,0,0,1,1,1,0
51,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,155,155,0,-155,0.0,155,155.0,0,0,0,1,1,1,0
52,1.0,1.0,82.0,-100.0,41.0,82.0,-100.0,437,478,82,-396,0.0,519,259.5,0,0,0,0,0,0,0
54,1.0,1.0,46.0,-100.0,23.0,46.0,-100.0,461,484,46,-438,0.0,507,253.5,0,0,0,0,0,0,0
60,2.2,1.375,31.0,26.0,15.181818181818182,0.0,6.0,4,23,167,144,31.0,171,15.545454545454545,6,6,8,11,11,11,1
63,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,33,33,0,-33,0.0,33,33.0,0,1,1,1,1,1,0
67,1.0,1.0,74.0,-100.0,37.0,74.0,-100.0,103,140,74,-66,0.0,177,88.5,0,0,0,2,2,2,0
71,1.0,1.0,30.0,-100.0,15.0,30.0,-100.0,103,118,30,-88,0.0,133,66.5,0,0,0,2,2,2,0
72,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,25,25,0,-25,0.0,25,25.0,1,1,1,1,1,1,0
74,1.0,1.0,135.0,-100.0,67.5,135.0,-100.0,84,151,135,-17,0.0,219,109.5,0,0,1,1,2,2,0
78,2.0,2.0,1.0,-100.0,0.5,1.0,-100.0,102,102,1,-102,0.0,103,51.5,0,0,0,2,2,2,0
80,12.0,4.5,0.0,2.0,2.0277777777777777,1.0,4.0,164,195,146,-49,-1.0,310,4.305555555555555,0,0,0,15,66,72,0
83,1.0,1.0,31.0,52.0,42.5,87.0,52.0,178,291,170,-121,-56.0,348,87.0,0,0,0,1,2,4,0
88,1.0,1.0,57.0,-100.0,28.5,57.0,-100.0,487,515,57,-459,0.0,544,272.0,0,0,0,0,0,0,0
90,1.4,1.0769230769230769,41.0,66.0,29.428571428571427,24.0,107.0,78,322,412,90,17.0,490,35.0,0,0,1,2,5,10,0
92,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,444,444,0,-444,0.0,444,444.0,0,0,0,0,0,0,0
93,1.5,1.0,42.0,299.0,73.16666666666667,6.0,62.0,32,115,439,324,36.0,471,78.5,0,2,2,4,4,4,1
99,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,178,178,0,-178,0.0,178,178.0,0,0,0,1,1,1,0
100,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,78,78,0,-78,0.0,78,78.0,0,0,1,1,1,1,0
103,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,241,241,0,-241,0.0,241,241.0,0,0,0,0,1,1,0
105,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,323,323,0,-323,0.0,323,323.0,0,0,0,0,0,1,0
106,1.0,1.0,25.0,34.0,27.4,47.0,31.0,142,220,137,-83,-22.0,279,55.8,0,0,0,1,4,5,0
110,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,108,108,0,-108,0.0,108,108.0,0,0,0,1,1,1,0
116,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,94,94,0,-94,0.0,94,94.0,0,0,0,1,1,1,0
120,1.0,1.0,70.0,-100.0,35.0,70.0,-100.0,128,163,70,-93,0.0,198,99.0,0,0,0,1,2,2,0
121,1.5,1.0,137.0,10.0,49.0,10.0,137.0,192,202,147,-55,127.0,339,113.0,0,0,0,0,2,3,1
122,1.0,1.0,184.0,-100.0,92.0,184.0,-100.0,63,155,184,29,0.0,247,123.5,0,0,1,1,2,2,1
124,4.25,1.7,5.0,3.0,5.9411764705882355,17.0,9.0,5,45,101,56,-12.0,106,6.235294117647059,2,12,13,17,17,17,1
130,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,165,165,0,-165,0.0,165,165.0,0,0,0,1,1,1,0
131,1.5,1.2,21.0,0.0,20.0,22.0,47.0,86,170,120,-50,-1.0,206,34.333333333333336,0,0,1,3,6,6,0
137,1.0,1.5,6.0,70.0,25.333333333333332,70.0,6.0,142,212,76,-136,-64.0,218,72.66666666666667,0,0,0,1,3,3,0
140,3.3333333333333335,1.4285714285714286,16.0,3.0,22.1,170.0,9.0,322,507,221,-287,-154.0,543,54.3,0,0,0,0,0,1,0
142,1.25,1.0,13.0,36.0,31.6,24.0,85.0,5,114,158,44,-11.0,163,32.6,2,2,2,5,5,5,1
143,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,482,482,0,-482,0.0,482,482.0,0,0,0,0,0,0,0
144,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,106,106,0,-106,0.0,106,106.0,0,0,0,1,1,1,0
145,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,94,94,0,-94,0.0,94,94.0,0,0,0,1,1,1,1
146,1.0,1.0,7.0,-100.0,3.5,7.0,-100.0,330,333,7,-327,0.0,337,168.5,0,0,0,0,0,2,0
150,1.5,1.5,0.0,68.0,22.666666666666668,68.0,0.0,79,147,68,-79,-68.0,147,49.0,0,0,1,3,3,3,0
156,1.8333333333333333,1.2222222222222223,29.0,59.0,30.454545454545453,6.0,15.0,189,224,335,111,23.0,524,47.63636363636363,0,0,0,0,6,6,0
157,1.5,1.0,22.0,4.0,8.666666666666666,4.0,22.0,19,23,26,3,18.0,45,15.0,2,3,3,3,3,3,0
159,5.0,3.0,3.0,0.0,12.2,3.0,9.0,319,464,183,-281,0.0,502,33.46666666666667,0,0,0,0,0,7,1
160,12.5,3.125,7.0,1.0,3.4133333333333336,139.0,3.0,24,326,512,186,-132.0,536,3.5733333333333333,1,1,1,5,48,95,0
161,1.0,1.0,23.0,-100.0,11.5,23.0,-100.0,78,89,23,-67,0.0,101,50.5,0,0,1,2,2,2,0
163,1.0,1.0,251.0,40.0,78.5,28.0,103.0,67,222,471,248,223.0,538,89.66666666666667,0,0,1,2,4,5,1
167,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,103,103,0,-103,0.0,103,103.0,0,0,0,1,1,1,0
168,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,99,99,0,-99,0.0,99,99.0,0,0,0,1,1,1,1
169,1.3333333333333333,1.0,6.0,30.0,17.25,33.0,30.0,468,516,69,-447,-27.0,537,134.25,0,0,0,0,0,0,0
171,1.5,1.0,12.0,62.0,24.666666666666668,62.0,12.0,32,94,74,-20,-50.0,106,35.333333333333336,0,1,1,3,3,3,0
175,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,238,238,0,-238,0.0,238,238.0,0,0,0,0,1,1,0
177,1.4,1.1666666666666667,1.0,0.0,18.857142857142858,41.0,8.0,46,218,264,45,-40.0,310,22.142857142857142,0,1,2,6,8,14,0
183,2.3333333333333335,1.1666666666666667,7.0,1.0,8.714285714285714,8.0,7.0,17,39,61,22,-1.0,78,11.142857142857142,2,4,7,7,7,7,1
185,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,315,315,0,-315,0.0,315,315.0,0,0,0,0,0,1,0
186,2.0,2.0,367.0,-100.0,183.5,367.0,-100.0,23,206,367,160,0.0,390,195.0,1,1,1,1,1,1,0
187,4.571428571428571,2.6666666666666665,1.0,0.0,10.53125,0.0,5.0,26,150,337,187,1.0,363,11.34375,2,4,10,16,28,32,1
188,1.0,1.0,58.0,-100.0,29.0,58.0,-100.0,99,128,58,-70,0.0,157,78.5,0,0,0,2,2,2,0
